0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:52:41 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:52:56 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:52:56 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2262
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:53:13 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4679
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:53:17 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:53:17 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2344
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:53:18 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4810
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:53:39 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2611
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:53:53 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 3432
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:54:15 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 449
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:55:18 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:55:18 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2344
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:55:46 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2611
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:55:51 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:55:51 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2262
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:56:05 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4679
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:56:10 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2583
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:56:29 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:56:29 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4692
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:56:33 +0900] "GET /BBS/view.jsp?bbsID=18 HTTP/1.1" 200 3234
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:57:02 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4692
0:0:0:0:0:0:0:1 - - [28/Nov/2023:17:57:03 +0900] "GET /BBS/view.jsp?bbsID=16 HTTP/1.1" 200 3061
